date,token,total_supply
2026-08-30,CET,2458608885
2026-08-30,HTX,898232728634017
2026-08-30,KCS,165641743
2026-08-30,MX,409024834
2026-08-31,CET,2458631005
2026-08-31,HTX,898232728634017
2026-08-31,KCS,165641743
2026-08-31,MX,409024834
2026-09-01,CET,2458655635
2026-09-01,HTX,898232728634017
2026-09-01,KCS,165641743
2026-09-01,MX,409024834
2026-09-07,BGB,910920875
2026-09-07,BNB,133161677
2026-09-07,CET,2458671295
2026-09-07,GT,118871154
2026-09-07,HTX,898232728634017
2026-09-07,KCS,165641743
2026-09-07,MX,409024834
2026-09-07,OKB,21000000
2026-09-07,TKO,500000000
2026-09-08,BGB,910920875
2026-09-08,BNB,133161655
2026-09-08,CET,2439593000
2026-09-08,GT,118871483
2026-09-08,HTX,898232728634017
2026-09-08,KCS,165641743
2026-09-08,MX,409024834
2026-09-08,OKB,21000000
2026-09-08,TKO,500000000
2026-09-09,BGB,910920875
2026-09-09,BNB,133161440
2026-09-09,CET,2439621790
2026-09-09,GT,118872644
2026-09-09,HTX,898232728634017
2026-09-09,KCS,165641743
2026-09-09,MX,409024834
2026-09-09,OKB,21000000
2026-09-09,TKO,500000000
2026-09-10,BGB,910920875
2026-09-10,BNB,133161300
2026-09-10,CET,2439650910
2026-09-10,GT,118873783
2026-09-10,HTX,898232728634017
2026-09-10,KCS,165641743
2026-09-10,MX,409024834
2026-09-10,OKB,21000000
2026-09-10,TKO,500000000
2026-09-11,BGB,910920875
2026-09-11,BNB,133161175
2026-09-11,CET,2439678410
2026-09-11,GT,118874891
2026-09-11,HTX,898232728634017
2026-09-11,KCS,165641743
2026-09-11,MX,409024834
2026-09-11,OKB,21000000
2026-09-11,TKO,500000000
2026-09-12,BGB,910920875
2026-09-12,BNB,133161080
2026-09-12,CET,2439709540
2026-09-12,GT,118876105
2026-09-12,HTX,898232728634017
2026-09-12,KCS,165641743
2026-09-12,MX,409024834
2026-09-12,OKB,21000000
2026-09-12,TKO,500000000
2026-09-13,BGB,910920875
2026-09-13,BNB,133161008
2026-09-13,CET,2439737250
2026-09-13,GT,118877207
2026-09-13,HTX,898232728634017
2026-09-13,KCS,165641743
2026-09-13,MX,409024834
2026-09-13,OKB,21000000
2026-09-13,TKO,500000000
2026-09-14,BGB,910920875
2026-09-14,BNB,133160955
2026-09-14,CET,2439766040
2026-09-14,GT,118878343
2026-09-14,HTX,898232728634017
2026-09-14,KCS,165641743
2026-09-14,MX,409024834
2026-09-14,OKB,21000000
2026-09-14,TKO,500000000
2026-09-15,BGB,910920875
2026-09-15,BNB,133160843
2026-09-15,CET,2439793480
2026-09-15,GT,118879456
2026-09-15,HTX,898232728634017
2026-09-15,KCS,165641743
2026-09-15,MX,409024834
2026-09-15,OKB,21000000
2026-09-15,TKO,500000000
